REGION,ZONE,Target,Month,Type,Business Type
LTDM,Call Center,1.19,Aug,BAREA,CALL CENTER
LTDM,Call Center,4.28,Sep,BAREA,CALL CENTER
LTDM,Call Center,5.03,Oct,BAREA,CALL CENTER
LTDM,Call Center,3.93,Nov,BAREA,CALL CENTER
LTDM,Call Center,2.98,Dec,BAREA,CALL CENTER
LOSH,Call Center,2.38,Jan,BAREA,CALL CENTER
LOSH,Call Center,2.61,Feb,BAREA,CALL CENTER
LOSH,Call Center,9.25,Mar,BAREA,CALL CENTER
LOSH,Call Center,3.53,Apr,BAREA,CALL CENTER
LOSH,Call Center,5.86,May,BAREA,CALL CENTER
LOSH,Call Center,4.21,Jun,BAREA,CALL CENTER
LOSH,Call Center,3.21,Jul,BAREA,CALL CENTER
LOSH,Call Center,2.7,Aug,BAREA,CALL CENTER
LOSH,Call Center,3.92,Sep,BAREA,CALL CENTER
LOSH,Call Center,4.92,Oct,BAREA,CALL CENTER
LOSH,Call Center,5.85,Nov,BAREA,CALL CENTER
LOSH,Call Center,5.59,Dec,BAREA,CALL CENTER
LOLH,Call Center,0.97,Jan,BAREA,CALL CENTER
LOLH,Call Center,2.07,Feb,BAREA,CALL CENTER
LOLH,Call Center,2.11,Mar,BAREA,CALL CENTER
LOLH,Call Center,10.13,Apr,BAREA,CALL CENTER
LOLH,Call Center,23.69,May,BAREA,CALL CENTER
LOLH,Call Center,19.2,Jun,BAREA,CALL CENTER
LOLH,Call Center,11.71,Jul,BAREA,CALL CENTER
LOLH,Call Center,8.65,Aug,BAREA,CALL CENTER
LOLH,Call Center,13.34,Sep,BAREA,CALL CENTER
LOLH,Call Center,5.6,Oct,BAREA,CALL CENTER
LOLH,Call Center,5.59,Nov,BAREA,CALL CENTER
LOLH,Call Center,7.09,Dec,BAREA,CALL CENTER
AIR,Retail,12.19,Jan,BAREA,RETAIL
AIR,Retail,14.41,Feb,BAREA,RETAIL
AIR,Retail,15.88,Mar,BAREA,RETAIL
AIR,Retail,16.62,Apr,BAREA,RETAIL
AIR,Retail,14.48,May,BAREA,RETAIL
AIR,Retail,12.61,Jun,BAREA,RETAIL
AIR,Retail,16.1,Jul,BAREA,RETAIL
AIR,Retail,12.16,Aug,BAREA,RETAIL
AIR,Retail,14.76,Sep,BAREA,RETAIL
AIR,Retail,11.38,Oct,BAREA,RETAIL
AIR,Retail,10.49,Nov,BAREA,RETAIL
AIR,Retail,11.18,Dec,BAREA,RETAIL
LTDM,Retail,5.36,Jan,BAREA,RETAIL
LTDM,Retail,4.06,Feb,BAREA,RETAIL
LTDM,Retail,6.64,Mar,BAREA,RETAIL
LTDM,Retail,9.55,Apr,BAREA,RETAIL
LTDM,Retail,23.8,May,BAREA,RETAIL
LTDM,Retail,14.81,Jun,BAREA,RETAIL
LTDM,Retail,3.04,Jul,BAREA,RETAIL
LTDM,Retail,2.17,Aug,BAREA,RETAIL
LTDM,Retail,7.82,Sep,BAREA,RETAIL
LTDM,Retail,9.69,Oct,BAREA,RETAIL
LTDM,Retail,6.39,Nov,BAREA,RETAIL
LTDM,Retail,4.32,Dec,BAREA,RETAIL
LOSH,Retail,11.75,Jan,BAREA,RETAIL
LOSH,Retail,9.71,Feb,BAREA,RETAIL
LOSH,Retail,43.72,Mar,BAREA,RETAIL
LOSH,Retail,14.61,Apr,BAREA,RETAIL
LOSH,Retail,27.19,May,BAREA,RETAIL
LOSH,Retail,17.43,Jun,BAREA,RETAIL
LOSH,Retail,13.3,Jul,BAREA,RETAIL
LOSH,Retail,11.16,Aug,BAREA,RETAIL
LOSH,Retail,16.22,Sep,BAREA,RETAIL
LOSH,Retail,22.41,Oct,BAREA,RETAIL
LOSH,Retail,19.71,Nov,BAREA,RETAIL
LOSH,Retail,15.66,Dec,BAREA,RETAIL
LOLH,Retail,5.71,Jan,BAREA,RETAIL
LOLH,Retail,8.81,Feb,BAREA,RETAIL
LOLH,Retail,11.76,Mar,BAREA,RETAIL
LOLH,Retail,48.69,Apr,BAREA,RETAIL
LOLH,Retail,129.54,May,BAREA,RETAIL
LOLH,Retail,92.31,Jun,BAREA,RETAIL
LOLH,Retail,56.29,Jul,BAREA,RETAIL
LOLH,Retail,41.58,Aug,BAREA,RETAIL
LOLH,Retail,64.1,Sep,BAREA,RETAIL
LOLH,Retail,29.99,Oct,BAREA,RETAIL
LOLH,Retail,21.32,Nov,BAREA,RETAIL
LOLH,Retail,22.14,Dec,BAREA,RETAIL
AIR,LTDM,1.880732933,Jan,FILE TYPE,BOTH
AIR,LTDM,2.504882279,Feb,FILE TYPE,BOTH
AIR,LTDM,2.422758851,Mar,FILE TYPE,BOTH
AIR,LTDM,2.588355291,Apr,FILE TYPE,BOTH
AIR,LTDM,2.626434263,May,FILE TYPE,BOTH
AIR,LTDM,1.631153886,Jun,FILE TYPE,BOTH
AIR,LTDM,1.643516057,Jul,FILE TYPE,BOTH
AIR,LTDM,1.384171099,Aug,FILE TYPE,BOTH
AIR,LTDM,1.958130993,Sep,FILE TYPE,BOTH
AIR,LTDM,1.606112112,Oct,FILE TYPE,BOTH
AIR,LTDM,1.848045631,Nov,FILE TYPE,BOTH
AIR,LTDM,2.385414033,Dec,FILE TYPE,BOTH
FIT,LTDM,6.580963418,Jan,FILE TYPE,BOTH
FIT,LTDM,5.172928599,Feb,FILE TYPE,BOTH
FIT,LTDM,7.550233859,Mar,FILE TYPE,BOTH
FIT,LTDM,7.919889009,Apr,FILE TYPE,BOTH
FIT,LTDM,13.59104267,May,FILE TYPE,BOTH
